View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,Beginning Page
FS Canal (FSC),,1.8,2.7,3.6,4.5,4.5,3.6,2.4,1.8,1.2,1.2,1.2,1.5,,,,,,,,,,,,,
Nimbus Minimum (cfs),,9000,2500,3000,4000,3000,2500,2000,2000,2000,2000,3750,4000,,,,,,,,,,,,,
Nimbus Minimum (TAF),,535.4,153.7,178.5,245.9,184.4,148.7,122.9,119.0,122.9,122.9,208.2,245.9,,,,,,,,,,,,,
Actual Nimbus Release (TAF),,535.4,153.7,187.8,249.1,184.4,148.7,122.9,119.0,122.9,122.9,208.2,245.9,,,,,,,,,,,,,
Storage,817,813,937,885,715,604,528,480,451,439,468,521,586,,,,,,,,,,,,,
Elevation (feet),,451,462,458,441,429,420,414,410,409,412,419,427,,,,,,,,,,,,,
Area (acres),,10750,10750,11427,10975,10005,8682,8609,7599,7886,7242,7743,7958,,,,,,,,,,,,,
Amer AFRP,,1750,2500,3520,2750,3750,3500,2250,2250,2500,2500,2500,2500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
New Melones,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,150,224,179,62,43,42,35,35,40,50,80,105,,,,,,,,,,,,,
Est. Evap.,,4.3,5.6,6.5,8.5,7.8,6.4,3.2,1.5,1.0,1.7,1.4,2.2,,,,,,,,,,,,,
Total Release,,169,200,169,113,98,77,73,17,15,16,25,126,,,,,,,,,,,,,
Tull. Stor.,,62.6,67.0,67.0,67.0,67.0,63.8,57.0,57.0,57.0,57.0,57.0,58.5,,,,,,,,,,,,,
Goodwin - cfs,,1400,1555,940,300,300,300,797,200,200,232,236,1521,,,,,,,,,,,,,
Goodwin - TAF,,86,96,56,18,18,18,49,12,12,14,13,93,,,,,,,,,,,,,
OID/SSJID,,70,85,95,75,65,50,26,0,0,0,10,25,,,,,,,,,,,,,
CVP Contractors,,7,15,18,20,15,12,5,5,3,2,2,6,,,,,,,,,,,,,
Storage ,2019,1996,2014,2018,1958,1894,1853,1812,1829,1852,1884,1938,1915,,,,,,,,,,,,,
Elevation (feet),,1052,1054,1054,1048,1043,1039,1035,1036,1039,1042,1047,1044,,,,,,,,,,,,,
Area (acres),,11159,11081,11159,11159,10926,10733,10579,10427,10465,10579,10694,10887,,,,,,,,,,,,,
S. J. above Stan - TAF,,350,203,74,65,56,59,78,87,91,105,224,237,,,,,,,,,,,,,
S. J. @ VNS. - cfs,,6855,4857,2184,1357,1211,1292,2066,1662,1680,1940,4270,5376,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
